School ID,Network,Group,Grade,2015,2016,2017
,,All (Excludes Pre-K),,93.2,93.4,92.8
,,Grade,Pre-K,89.2,89.6,88.8
,,Grade,K,93.7,94.2,93.7
,,Grade,1,94.5,95,94.5
,,Grade,2,95.1,95.5,95
,,Grade,3,95.4,95.8,95.1
,,Grade,4,95.6,95.9,95.5
,,Grade,5,95.7,96,95.4
,,Grade,6,95.5,95.8,95.3
,,Grade,7,95.5,95.7,95.3
,,Grade,8,94.6,95.2,94.7
,,Grade,9,90.3,90.9,90.4
,,Grade,10,88,88,87.2
,,Grade,11,88.6,87.7,86.8
,,Grade,12,87.9,87.5,85.8
400008,,All (Excludes Pre-K),,,,
400008,,Grade,6,,,
400008,,Grade,7,,,
400008,,Grade,8,,,
400008,,Grade,9,,,
400008,,Grade,10,,,
400008,,Grade,11,,,
400008,,Grade,12,,,
400009,Charter,All (Excludes Pre-K),,95.9,96.3,96
400009,Charter,Grade,K,95,95.5,93.9
400009,Charter,Grade,1,95.1,95.6,95.9
400009,Charter,Grade,2,96.9,96,96.2
400009,Charter,Grade,3,97.1,96.8,95.9
400009,Charter,Grade,4,96.6,96.8,96.7
400009,Charter,Grade,5,96.5,96.9,96.2
400009,Charter,Grade,6,95,97.1,96.9
400009,Charter,Grade,7,94.7,96.4,96.8
400009,Charter,Grade,8,,95.6,95.4
400010,Charter,All (Excludes Pre-K),,88.1,87.6,85.4
400010,Charter,Grade,8,,,
400010,Charter,Grade,9,86.1,85.4,82.7
400010,Charter,Grade,10,86.5,87.9,85.6
400010,Charter,Grade,11,87.7,86.8,85.8
400010,Charter,Grade,12,93.4,90.5,87.7
400011,Charter,All (Excludes Pre-K),,94.6,94.4,94.2
400011,Charter,Grade,Pre-K,90.3,89.4,86.8
400011,Charter,Grade,K,93.7,94.2,92.3
400011,Charter,Grade,1,93.8,93,93.7
400011,Charter,Grade,2,94.6,95.6,94.3
400011,Charter,Grade,3,94.4,93.2,95.1
400011,Charter,Grade,4,94.1,93.7,93.8
400011,Charter,Grade,5,93.8,94.2,93.5
400011,Charter,Grade,6,95.7,94.4,94.8
400011,Charter,Grade,7,96,95.9,95.2
400011,Charter,Grade,8,97.2,97.2,95.9
400012,,All (Excludes Pre-K),,91,87.4,
400012,,Grade,5,93.1,92.5,
400012,,Grade,6,91.3,93.2,
400012,,Grade,7,92.4,89.4,
400012,,Grade,8,95,90.8,
400012,,Grade,9,87.3,85.8,
400012,,Grade,10,88.1,79.1,
400012,,Grade,11,90.7,86.9,
400012,,Grade,12,,86.7,
400013,Charter,All (Excludes Pre-K),,87.6,90.8,90
400013,Charter,Grade,9,82.9,90,91.4
400013,Charter,Grade,10,89.1,91.8,88.9
400013,Charter,Grade,11,92.3,88.6,90.6
400013,Charter,Grade,12,85.8,92.7,88.7
400015,,All (Excludes Pre-K),,84.1,,
400015,,Grade,6,,,
400015,,Grade,7,,,
400015,,Grade,8,,,
400015,,Grade,9,,,
400015,,Grade,10,,,
400015,,Grade,11,,,
400015,,Grade,12,84.1,,
400017,Charter,All (Excludes Pre-K),,95,94.9,93.8
400017,Charter,Grade,6,96,95.9,93.8
400017,Charter,Grade,7,95.1,95.1,94
400017,Charter,Grade,8,94.3,94.2,93.6
400018,,All (Excludes Pre-K),,87.5,82.9,
400018,,Grade,9,88.6,80,
400018,,Grade,10,86,83.8,
400018,,Grade,11,84.9,85.6,
400018,,Grade,12,88.9,80,
400019,,All (Excludes Pre-K),,94.4,96,
400019,,Grade,K,90.4,96.3,
400019,,Grade,1,94.6,93.6,
400019,,Grade,2,92.7,95.8,
400019,,Grade,3,94.8,96.4,
400019,,Grade,4,95.6,96.7,
400019,,Grade,5,94.4,96.5,
400019,,Grade,6,94.6,96.7,
400019,,Grade,7,95.4,96.5,
400019,,Grade,8,96.9,95.8,
400020,,All (Excludes Pre-K),,93.9,,
400020,,Grade,K,90.6,,
400020,,Grade,1,93.4,,
400020,,Grade,2,93.8,,
400020,,Grade,3,93.9,,
400020,,Grade,4,94.6,,
400020,,Grade,5,93.7,,
400020,,Grade,6,93.1,,
400020,,Grade,7,95,,
400020,,Grade,8,97.7,,
400021,Charter,All (Excludes Pre-K),,95.2,96.1,95.3
400021,Charter,Grade,Pre-K,,,
400021,Charter,Grade,K,93.3,95.8,92.6
400021,Charter,Grade,1,94.3,94.6,94.7
400021,Charter,Grade,2,94.9,95.3,95.6
400021,Charter,Grade,3,94.7,96.3,95.3
400021,Charter,Grade,4,95.4,96.1,96.2
400021,Charter,Grade,5,95.3,96.3,95.4
400021,Charter,Grade,6,96.5,96.5,95.8
400021,Charter,Grade,7,96.2,96.8,96.2
400021,Charter,Grade,8,96.4,97,96.2
400022,Contract,All (Excludes Pre-K),,97.2,97,98.9
400022,Contract,Grade,9,98,97.8,99.4
400022,Contract,Grade,10,97.2,97.2,98.8
400022,Contract,Grade,11,97.2,96.6,98.9
400022,Contract,Grade,12,96.1,96.1,98.6
400023,Charter,All (Excludes Pre-K),,94.4,95.6,95.6
400023,Charter,Grade,K,93.7,94.2,94.2
400023,Charter,Grade,1,94.3,95.8,93.8
400023,Charter,Grade,2,93.2,94.3,96.3
400023,Charter,Grade,3,94.3,96.5,96
400023,Charter,Grade,4,95.5,95.5,97.4
400023,Charter,Grade,5,93.7,95.8,95.7
400023,Charter,Grade,6,96,96.8,97.4
400023,Charter,Grade,7,94.3,96.5,95.3
400023,Charter,Grade,8,94.9,96,94.1
400024,Charter,All (Excludes Pre-K),,93.5,93.9,93.2
400024,Charter,Grade,Pre-K,,,
400024,Charter,Grade,K,92.3,92.2,91.9
400024,Charter,Grade,1,93.4,93.4,93.1
400024,Charter,Grade,2,94.3,93.8,93.5
400024,Charter,Grade,3,93.6,95.4,93.5
400024,Charter,Grade,4,93.1,94.9,93.8
400024,Charter,Grade,5,94.6,93.7,93.6
400024,Charter,Grade,6,94.2,93.7,92.7
400024,Charter,Grade,7,92.6,94.6,93.1
400024,Charter,Grade,8,93.1,93.4,93.3
400025,Charter,All (Excludes Pre-K),,93.8,95.1,94.5
400025,Charter,Grade,Pre-K,,94.7,
400025,Charter,Grade,K,92.9,94.4,93.4
400025,Charter,Grade,1,93.1,94.3,94.1
400025,Charter,Grade,2,93.6,95,93.4
400025,Charter,Grade,3,93.9,95.4,94.2
400025,Charter,Grade,4,94.7,95.4,94.6
400025,Charter,Grade,5,93.9,95.6,94.3
400025,Charter,Grade,6,93.7,95.3,95.7
400025,Charter,Grade,7,93,95.7,94.8
400025,Charter,Grade,8,94.9,94.7,95.9
400025,Charter,Grade,9,,,
400025,Charter,Grade,10,,,
400025,Charter,Grade,11,,,
400025,Charter,Grade,12,,,
400026,Charter,All (Excludes Pre-K),,95.3,92.5,91.8
400026,Charter,Grade,K,94.8,92.3,92
400026,Charter,Grade,1,95.3,92.7,91.6
400026,Charter,Grade,2,95.9,92.6,91.9
400026,Charter,Grade,3,,0,
400027,Charter,All (Excludes Pre-K),,95.6,94,93.9
400027,Charter,Grade,K,95.2,91.5,92.3
400027,Charter,Grade,1,95.4,94.5,93.5
400027,Charter,Grade,2,94.7,94.3,94.5
400027,Charter,Grade,3,96.7,93.5,94.4
400027,Charter,Grade,4,95.6,95.7,93.8
400027,Charter,Grade,5,95.6,95.7,94.9
400027,Charter,Grade,6,95.7,94.6,95.1
400027,Charter,Grade,7,95.8,93.9,94.6
400027,Charter,Grade,8,95.9,92.3,92
400028,Charter,All (Excludes Pre-K),,95.1,95.6,94.8
400028,Charter,Grade,K,93.9,94.6,93.1
400028,Charter,Grade,1,94.3,95.5,94.7
400028,Charter,Grade,2,94.8,95.2,93.7
400028,Charter,Grade,3,95.8,95.5,96.1
400028,Charter,Grade,4,96.3,95.6,95.1
400028,Charter,Grade,5,96,97.1,94.9
400028,Charter,Grade,6,96.1,95.6,96.9
400028,Charter,Grade,7,94.8,96.5,94.4
400028,Charter,Grade,8,94.7,95.6,95.2
400029,Charter,All (Excludes Pre-K),,92.6,93.1,93
400029,Charter,Grade,K,90.5,92.3,92.7
400029,Charter,Grade,1,92.5,93.6,92.4
400029,Charter,Grade,2,92.8,93.7,93
400029,Charter,Grade,3,92.8,94.7,93.8
400029,Charter,Grade,4,95.5,91.7,93.3
400029,Charter,Grade,5,92.5,94.8,92.7
400029,Charter,Grade,6,91.6,92.6,94.1
400029,Charter,Grade,7,93.2,92.1,92.2
400029,Charter,Grade,8,92.3,92.9,93.3
400029,Charter,Grade,9,,,76.9
400030,Charter,All (Excludes Pre-K),,96.4,96.4,96
400030,Charter,Grade,K,95.6,96.1,95.4
400030,Charter,Grade,1,94.8,96.5,95.4
400030,Charter,Grade,2,96.5,95.3,95.5
400030,Charter,Grade,3,96.4,96.5,96.2
400030,Charter,Grade,4,96.6,96.5,96.8
400030,Charter,Grade,5,96.3,96.7,96.3
400030,Charter,Grade,6,97,96.7,96.3
400030,Charter,Grade,7,97,96.5,96.1
400030,Charter,Grade,8,97.4,96.9,96
400031,Charter,All (Excludes Pre-K),,95,94.9,94.4
400031,Charter,Grade,K,93.6,94.6,94.2
400031,Charter,Grade,1,94.2,95.2,94.7
400031,Charter,Grade,2,94.6,93.9,94.7
400031,Charter,Grade,3,94.6,94.8,93.1
400031,Charter,Grade,4,95.5,94.6,94.7
400031,Charter,Grade,5,95.3,95.1,93.4
400031,Charter,Grade,6,95.4,94.3,94.4
400031,Charter,Grade,7,96.1,94.7,95.4
400031,Charter,Grade,8,95.6,96.8,95.2
400032,Charter,All (Excludes Pre-K),,95.6,91,88.7
400032,Charter,Grade,8,,0,100
400032,Charter,Grade,9,96,89.9,85.8
400032,Charter,Grade,10,95,90.6,89.1
400032,Charter,Grade,11,95.2,90.6,89.4
400032,Charter,Grade,12,96.3,92.9,91.7
400033,Charter,All (Excludes Pre-K),,92.6,92.2,90.7
400033,Charter,Grade,K,,,
400033,Charter,Grade,1,,,
400033,Charter,Grade,2,,,
400033,Charter,Grade,3,91.7,92.4,91
400033,Charter,Grade,4,93.2,92,92.1
400033,Charter,Grade,5,91.9,92.8,92
400033,Charter,Grade,6,93.3,93.1,93.1
400033,Charter,Grade,7,93.9,93.3,92.7
400033,Charter,Grade,8,95.2,95,92.8
400033,Charter,Grade,9,92.6,91.5,88.4
400033,Charter,Grade,10,90,91.1,86.8
400033,Charter,Grade,11,90.7,89.7,87.2
400033,Charter,Grade,12,91.8,88.7,89.4
400034,Charter,All (Excludes Pre-K),,95.4,94.3,93.4
400034,Charter,Grade,9,95.9,94.5,94.2
400034,Charter,Grade,10,95.2,94.1,93.7
400034,Charter,Grade,11,95.5,94.5,92.6
400034,Charter,Grade,12,94.8,94.2,92.5
400035,Charter,All (Excludes Pre-K),,96.8,96.3,95.8
400035,Charter,Grade,6,97,97.5,96.5
400035,Charter,Grade,7,96.9,96.4,97.1
400035,Charter,Grade,8,97.6,96.3,97.3
400035,Charter,Grade,9,97.3,96.3,94.7
400035,Charter,Grade,10,96.6,96.4,95.7
400035,Charter,Grade,11,96.6,96.2,95.2
400035,Charter,Grade,12,95.2,94.9,94
400036,Charter,All (Excludes Pre-K),,94,95.1,71
400036,Charter,Grade,K,95.6,94.4,73.2
400036,Charter,Grade,1,94.9,94.5,71
400036,Charter,Grade,2,93.7,95.9,75.2
400036,Charter,Grade,3,96.6,95.6,73.8
400036,Charter,Grade,4,96.4,97.3,74.1
400036,Charter,Grade,5,94.2,96.7,77.1
400036,Charter,Grade,6,94.5,93.1,71.6
400036,Charter,Grade,7,92.3,94.9,70.3
400036,Charter,Grade,8,96,94.3,71.9
400036,Charter,Grade,9,91.6,95.6,69.6
400036,Charter,Grade,10,88,95.1,66.5
400036,Charter,Grade,11,93.1,92.8,62.7
400036,Charter,Grade,12,94.4,96.2,58.7
400037,,All (Excludes Pre-K),,,,
400037,,Grade,2,,,
400037,,Grade,3,,,
400037,,Grade,4,,,
400037,,Grade,5,,,
400037,,Grade,6,,,
400037,,Grade,7,,,
400037,,Grade,8,,,
400038,Options,All (Excludes Pre-K),,90.2,,
400038,Options,Grade,9,,,
400038,Options,Grade,10,81.8,,
400038,Options,Grade,11,90.4,,
400038,Options,Grade,12,89.6,,
400039,Charter,All (Excludes Pre-K),,95.5,95.9,94.5
400039,Charter,Grade,K,94.3,95.4,94.6
400039,Charter,Grade,1,94.6,95.3,94.5
400039,Charter,Grade,2,96.1,95.5,94
400039,Charter,Grade,3,95.8,96.3,94.3
400039,Charter,Grade,4,94.5,96.4,95.1
400039,Charter,Grade,5,95.8,94.9,95.2
400039,Charter,Grade,6,96.5,95.9,94.1
400039,Charter,Grade,7,95.9,96.7,95
400039,Charter,Grade,8,95.6,96.6,93.5
400040,Charter,All (Excludes Pre-K),,95.3,96.1,92.1
400040,Charter,Grade,Pre-K,97.1,99.5,93.7
400040,Charter,Grade,K,93.3,95.9,89
400040,Charter,Grade,1,94.8,96.2,92.7
400040,Charter,Grade,2,94.2,95.7,89.4
400040,Charter,Grade,3,95.8,95.6,90.7
400040,Charter,Grade,4,95.3,96.3,91.9
400040,Charter,Grade,5,95.1,95.6,93.4
400040,Charter,Grade,6,95.8,95.5,94.1
400040,Charter,Grade,7,96.8,97.4,92.9
400040,Charter,Grade,8,96.2,97.2,94.1
400041,,All (Excludes Pre-K),,93.9,94,
400041,,Grade,K,91.7,93.5,
400041,,Grade,1,92.2,92.5,
400041,,Grade,2,93.8,93.6,
400041,,Grade,3,92.9,94.3,
400041,,Grade,4,94.9,92,
400041,,Grade,5,95.6,94.2,
400041,,Grade,6,94.9,95.6,
400041,,Grade,7,95.6,95.7,
400041,,Grade,8,93.9,94.5,
400042,,All (Excludes Pre-K),,98.6,,
400042,,Grade,9,,,
400042,,Grade,10,,,
400042,,Grade,11,,,
400042,,Grade,12,98.6,,
400043,Contract,All (Excludes Pre-K),,94.1,94.4,93.9
400043,Contract,Grade,K,92.5,92.6,91.5
400043,Contract,Grade,1,94.1,93.7,93
400043,Contract,Grade,2,94.1,94.2,93.5
400043,Contract,Grade,3,94.5,94.8,94.8
400043,Contract,Grade,4,94.9,96,94.9
400043,Contract,Grade,5,94.9,95.2,95.9
400044,Charter,All (Excludes Pre-K),,94.8,95.3,94.8
400044,Charter,Grade,K,,94.8,94.2
400044,Charter,Grade,1,94.7,95,94.4
400044,Charter,Grade,2,95.1,96,94.9
400044,Charter,Grade,3,95.4,96,95.2
400044,Charter,Grade,4,95.6,96,95.2
400044,Charter,Grade,5,93.1,96.1,95.6
400044,Charter,Grade,6,94.4,93.7,95.2
400044,Charter,Grade,7,94,95.3,93.7
400044,Charter,Grade,8,94.9,94.5,94.8
400045,Charter,All (Excludes Pre-K),,94.6,93.1,90.5
400045,Charter,Grade,K,92.7,90.7,80.6
400045,Charter,Grade,1,94.6,92.2,89.6
400045,Charter,Grade,2,93.6,92.1,89.5
400045,Charter,Grade,3,95.9,93.4,88.5
400045,Charter,Grade,4,93.5,93.1,91.3
400045,Charter,Grade,5,96.5,94.9,94.5
400045,Charter,Grade,6,94.4,93,91.3
400045,Charter,Grade,7,95.9,93.3,93.5
400045,Charter,Grade,8,,95.7,91.7
400046,Charter,All (Excludes Pre-K),,94.9,96.7,96.1
400046,Charter,Grade,Pre-K,97.4,95.7,99.2
400046,Charter,Grade,K,92.5,95.9,95.3
400046,Charter,Grade,1,93.9,95.2,95.5
400046,Charter,Grade,2,94.1,95.5,95.2
400046,Charter,Grade,3,95.7,96.5,96
400046,Charter,Grade,4,96.4,97,95.5
400046,Charter,Grade,5,96,98.2,95.8
400046,Charter,Grade,6,95.7,98,98
400046,Charter,Grade,7,96.4,96.5,97.8
400046,Charter,Grade,8,96.1,97.6,96.6
400047,Charter,All (Excludes Pre-K),,94.7,95.1,94.7
400047,Charter,Grade,K,93.5,93.8,93.1
400047,Charter,Grade,1,94.9,95.4,94.2
400047,Charter,Grade,2,94.8,95.1,95
400047,Charter,Grade,3,94.6,95,95.1
400047,Charter,Grade,4,95.3,95.7,95.4
400047,Charter,Grade,5,95.5,96,95.1
400047,Charter,Grade,6,,,
400048,Charter,All (Excludes Pre-K),,95.3,96.3,96.2
400048,Charter,Grade,K,95.4,95.1,95.9
400048,Charter,Grade,1,94.8,96.5,94.8
400048,Charter,Grade,2,93.5,96.3,96.4
400048,Charter,Grade,3,95.7,95.7,97
400048,Charter,Grade,4,96.4,96.8,95.9
400048,Charter,Grade,5,96.2,97.9,97.2
400048,Charter,Grade,6,,,
400049,Charter,All (Excludes Pre-K),,95.4,96.1,95.4
400049,Charter,Grade,Pre-K,90.8,90.1,100
400049,Charter,Grade,K,92.9,94.8,94.4
400049,Charter,Grade,1,94.3,95.4,94.5
400049,Charter,Grade,2,95.6,96.7,95.8
400049,Charter,Grade,3,95.9,96.8,95.9
400049,Charter,Grade,4,95.9,95.9,95.6
400049,Charter,Grade,5,95.2,96.4,95.1
400049,Charter,Grade,6,96.1,95.8,95.9
400049,Charter,Grade,7,96.2,97.3,95.6
400049,Charter,Grade,8,96.2,95.7,95.5
400050,Charter,All (Excludes Pre-K),,96.7,96.5,95.6
400050,Charter,Grade,K,96,96.4,94.9
400050,Charter,Grade,1,96.4,96,95.3
400050,Charter,Grade,2,96.9,95.8,95.9
400050,Charter,Grade,3,97.3,96.9,96.5
400050,Charter,Grade,4,97,96.9,96.1
400050,Charter,Grade,5,96.8,96.8,96.2
400050,Charter,Grade,6,96.8,96.8,95.5
400050,Charter,Grade,7,97,95.9,94.5
400050,Charter,Grade,8,96.3,97,94.9
400051,Charter,All (Excludes Pre-K),,94.6,94.5,94.2
400051,Charter,Grade,9,93.7,94.5,94.5
400051,Charter,Grade,10,95.3,94.3,93.6
400051,Charter,Grade,11,94.6,94.1,93.7
400051,Charter,Grade,12,94.8,94.9,94.7
400052,Charter,All (Excludes Pre-K),,94.1,93.8,93.4
400052,Charter,Grade,5,,,92.3
400052,Charter,Grade,6,97.6,94.7,93.6
400052,Charter,Grade,7,97.4,95.9,94.1
400052,Charter,Grade,8,97.7,96.2,96.1
400052,Charter,Grade,9,92.3,93,91.6
400052,Charter,Grade,10,92.9,92.7,93
400052,Charter,Grade,11,92.9,92.9,93.8
400052,Charter,Grade,12,93.1,94.2,94.3
400053,Charter,All (Excludes Pre-K),,95.2,94.2,93.1
400053,Charter,Grade,9,95.3,93.4,92.6
400053,Charter,Grade,10,95.4,94.4,92.8
400053,Charter,Grade,11,95.5,94.6,93.7
400053,Charter,Grade,12,94.3,94.7,93.4
400054,Charter,All (Excludes Pre-K),,95.7,95.1,94.7
400054,Charter,Grade,9,95,93.5,93.5
400054,Charter,Grade,10,96.3,96,95.2
400054,Charter,Grade,11,96.2,96,95.8
400054,Charter,Grade,12,95.4,95.1,94.9
400055,Charter,All (Excludes Pre-K),,94.2,94.2,93.2
400055,Charter,Grade,9,94.8,95.1,93
400055,Charter,Grade,10,94.3,93.6,94.1
400055,Charter,Grade,11,93.8,94.2,92.7
400055,Charter,Grade,12,93.9,93.4,92.5
400056,Charter,All (Excludes Pre-K),,92.1,91.4,88.6
400056,Charter,Grade,9,90,87.1,83.9
400056,Charter,Grade,10,92.1,91.4,89.8
400056,Charter,Grade,11,93.3,94.6,90.6
400056,Charter,Grade,12,93.5,93.4,92.4
400057,Charter,All (Excludes Pre-K),,95.6,94.9,94.2
400057,Charter,Grade,9,95.2,94.3,94.2
400057,Charter,Grade,10,95.8,95.2,94.2
400057,Charter,Grade,11,96.5,95.4,94.2
400057,Charter,Grade,12,94.8,94.7,94
400058,Charter,All (Excludes Pre-K),,97,95.9,93.2
400058,Charter,Grade,9,96.8,96.2,93.1
400058,Charter,Grade,10,96.8,94.7,93.1
400058,Charter,Grade,11,97.3,96.1,92.8
400058,Charter,Grade,12,97.1,96.8,93.8
400059,Charter,All (Excludes Pre-K),,91.1,91.6,90.1
400059,Charter,Grade,9,90.8,92.5,89.1
