School ID,School Name,Network,Subject,Grade,2014 # Tested,2014 % Students Making National Average Growth,2014 National School Growth Percentile,2015 # Tested,2015 % Students Making National Average Growth,2015 National School Growth Percentile,2016 # Tested,2016 % Students Making National Average Growth,2016 National School Growth Percentile
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 3,42,66.7,27,35,22.9,3,36,75,96
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 4,44,63.6,65,43,46.5,37,39,74.4,91
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 5,46,69.6,91,44,34.1,13,45,44.4,29
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 6,47,83,92,48,54.2,47,42,59.5,61
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 7,42,23.8,2,44,81.8,99,41,80.5,98
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grade 8,,,,41,70.7,91,45,44.4,39
400009,GLOBAL CITIZENSHIP,Charter,MATH,Grades 3-8 Combined,221,62,60,255,52.5,50,248,62.1,76
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 3,42,38.1,7,35,17.1,1,36,80.6,99
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 4,45,57.8,82,43,46.5,14,39,76.9,99
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 5,46,56.5,85,44,56.8,32,45,62.2,92
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 6,47,80.9,99,48,72.9,83,42,71.4,81
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 7,43,46.5,22,44,56.8,87,41,73.2,96
400009,GLOBAL CITIZENSHIP,Charter,READING,Grade 8,,,,41,58.5,86,44,56.8,45
400009,GLOBAL CITIZENSHIP,Charter,READING,Grades 3-8 Combined,223,56.5,80,255,52.9,46,247,69.6,94
400012,AMANDLA,Charter,MATH,Grade 5,25,24,1,13,7.7,1,,,
400012,AMANDLA,Charter,MATH,Grade 6,39,69.2,60,20,35,5,,,
400012,AMANDLA,Charter,MATH,Grade 7,35,66.7,50,36,38.9,20,,,
400012,AMANDLA,Charter,MATH,Grade 8,51,41.2,4,38,47.4,42,,,
400012,AMANDLA,Charter,MATH,Grades 3-8 Combined,150,51.7,21,107,37.4,14,,,
400012,AMANDLA,Charter,READING,Grade 5,25,72,67,13,46.2,1,,,
400012,AMANDLA,Charter,READING,Grade 6,39,66.7,47,19,15.8,1,,,
400012,AMANDLA,Charter,READING,Grade 7,35,58.3,66,36,61.1,46,,,
400012,AMANDLA,Charter,READING,Grade 8,51,54.9,27,38,36.8,11,,,
400012,AMANDLA,Charter,READING,Grades 3-8 Combined,150,61.6,50,106,42.5,8,,,
400017,ASPIRA - HAUGAN,Charter,MATH,Grade 6,121,36.4,12,93,10.8,1,103,26.9,7
400017,ASPIRA - HAUGAN,Charter,MATH,Grade 7,184,60.3,67,181,64.6,78,145,48.3,27
400017,ASPIRA - HAUGAN,Charter,MATH,Grade 8,191,39.8,17,177,62.7,61,176,60.8,64
400017,ASPIRA - HAUGAN,Charter,MATH,Grades 3-8 Combined,496,46.6,33,451,52.8,39,424,48.2,35
400017,ASPIRA - HAUGAN,Charter,READING,Grade 6,121,54.5,45,93,35.5,12,102,38.8,18
400017,ASPIRA - HAUGAN,Charter,READING,Grade 7,184,65.2,83,181,55.8,44,145,45.5,24
400017,ASPIRA - HAUGAN,Charter,READING,Grade 8,190,50.5,41,178,45.5,30,178,64.6,78
400017,ASPIRA - HAUGAN,Charter,READING,Grades 3-8 Combined,495,57,62,452,47.6,30,425,51.9,46
400019,BRONZEVILLE LIGHTHOUSE,Charter,MATH,Grade 3,52,19.2,1,62,41.9,37,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,MATH,Grade 4,48,60.4,45,51,41.2,40,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,MATH,Grade 5,45,26.7,1,53,32.1,12,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,MATH,Grade 6,40,60,69,33,48.5,44,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,MATH,Grade 7,42,61.9,73,37,54.1,45,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,MATH,Grade 8,46,67.4,85,43,76.7,96,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,MATH,Grades 3-8 Combined,273,48.4,30,279,47.7,45,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,READING,Grade 3,52,21.2,1,62,48.4,23,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,READING,Grade 4,49,32.7,2,51,56.9,86,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,READING,Grade 5,44,43.2,13,53,54.7,45,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,READING,Grade 6,40,50,38,33,48.5,44,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,READING,Grade 7,42,59.5,46,37,48.6,34,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,READING,Grade 8,46,50,39,43,62.8,76,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,READING,Grades 3-8 Combined,273,41.8,7,279,53.4,52,,,
400020,CATALYST - HOWLAND,Charter,MATH,Grade 3,53,13.2,1,,,,,,
400020,CATALYST - HOWLAND,Charter,MATH,Grade 4,42,16.7,1,,,,,,
400020,CATALYST - HOWLAND,Charter,MATH,Grade 5,44,38.6,13,,,,,,
400020,CATALYST - HOWLAND,Charter,MATH,Grade 6,36,38.9,7,,,,,,
400020,CATALYST - HOWLAND,Charter,MATH,Grade 7,42,54.8,28,,,,,,
400020,CATALYST - HOWLAND,Charter,MATH,Grade 8,50,50,18,,,,,,
400020,CATALYST - HOWLAND,Charter,MATH,Grades 3-8 Combined,267,34.8,4,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 3,53,34,1,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 4,43,20.9,1,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 5,44,36.4,11,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 6,36,33.3,12,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 7,43,30.2,5,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 8,50,54,50,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grades 3-8 Combined,269,35.3,2,,,,,,
